sequence	experiment	score	delta	status	strategy	description
1	001-827cf25e4464	70.61373600920427	-2.3322130981732556	revert	coordinate-frequency-hz-decrease	Decrease frequencyHz by one bounded step.
2	002-fdbd6b25b001	67.84205832403704	-5.103890783340489	revert	coordinate-frequency-hz-increase	Increase frequencyHz by one bounded step.
3	003-9028336f3b8b	65.79627988996894	-7.1496692174085865	revert	coordinate-hip-amplitude-decrease	Decrease hipAmplitude by one bounded step.
4	004-80858b9150c5	64.34928043003711	-8.596668677340418	revert	coordinate-hip-amplitude-increase	Increase hipAmplitude by one bounded step.
5	005-ae9510e5dae1	70.84344706963795	-2.1025020377395833	revert	coordinate-knee-amplitude-increase	Increase kneeAmplitude by one bounded step.
6	006-00fb3e398f52	66.27013422520928	-6.675814882168254	revert	coordinate-knee-amplitude-decrease	Decrease kneeAmplitude by one bounded step.
7	007-cffdcb3b7f5c	66.11166455616349	-6.83428455121404	revert	coordinate-neutral-hip-decrease	Decrease neutralHip by one bounded step.
8	008-972c322deb30	55.97806701618715	-16.967882091190383	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
9	009-bf80c3cfc17e	70.27418934630703	-2.671759761070504	revert	coordinate-neutral-knee-decrease	Decrease neutralKnee by one bounded step.
10	010-fe13dceec5de	59.08178428918313	-13.864164818194396	revert	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
11	011-f2269f9a51f2	66.1258871615983	-6.82006194577923	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
12	012-c093bdcbf5bd	70.78936818821526	-2.1565809191622662	revert	coordinate-kp-increase	Increase kp by one bounded step.
13	013-70950d689e3d	69.87903959605912	-3.066909511318414	revert	coordinate-kd-increase	Increase kd by one bounded step.
14	014-65f11ae463c0	62.75751487764724	-10.18843422973029	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
15	015-d644e3bd2fcb	72.19897762563659	-0.7469714817409425	revert	coordinate-contact-gain-increase	Increase contactGain by one bounded step.
16	016-9aa367e68e1a	66.45635169149139	-6.489597415886138	revert	coordinate-contact-gain-decrease	Decrease contactGain by one bounded step.
17	017-a41ebb944688	72.4049289732107	-0.5410201341668284	revert	coordinate-roll-gain-increase	Increase rollGain by one bounded step.
18	018-910ddfdeb101	69.873734823218	-3.0722142841595286	revert	coordinate-roll-gain-decrease	Decrease rollGain by one bounded step.
19	019-2dcfe24d9f17	70.61373600920427	-2.3322130981732556	revert	coordinate-frequency-hz-decrease	Decrease frequencyHz by one bounded step.
20	020-1d697c555cbc	67.84205832403704	-5.103890783340489	revert	coordinate-frequency-hz-increase	Increase frequencyHz by one bounded step.
21	021-31c4837e0cba	65.79627988996894	-7.1496692174085865	revert	coordinate-hip-amplitude-decrease	Decrease hipAmplitude by one bounded step.
22	022-3d2d517ca2c2	64.34928043003711	-8.596668677340418	revert	coordinate-hip-amplitude-increase	Increase hipAmplitude by one bounded step.
23	023-bbb9ab2947be	70.84344706963795	-2.1025020377395833	revert	coordinate-knee-amplitude-increase	Increase kneeAmplitude by one bounded step.
24	024-1a61efc6efc8	66.27013422520928	-6.675814882168254	revert	coordinate-knee-amplitude-decrease	Decrease kneeAmplitude by one bounded step.
25	025-7e68ba4d9e65	66.11166455616349	-6.83428455121404	revert	coordinate-neutral-hip-decrease	Decrease neutralHip by one bounded step.
26	026-83fe4ea361b7	55.97806701618715	-16.967882091190383	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
27	027-872c4131c1b4	70.27418934630703	-2.671759761070504	revert	coordinate-neutral-knee-decrease	Decrease neutralKnee by one bounded step.
28	028-d4f5dd81c92a	59.08178428918313	-13.864164818194396	revert	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
29	029-fbdc1a364c84	66.1258871615983	-6.82006194577923	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
30	030-93adc647ea73	70.78936818821526	-2.1565809191622662	revert	coordinate-kp-increase	Increase kp by one bounded step.
31	031-d0bfa12bac9d	69.87903959605912	-3.066909511318414	revert	coordinate-kd-increase	Increase kd by one bounded step.
32	032-0e2ba7506231	62.75751487764724	-10.18843422973029	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
33	033-9aa5321677db	72.19897762563659	-0.7469714817409425	revert	coordinate-contact-gain-increase	Increase contactGain by one bounded step.
34	034-70a10f095343	66.45635169149139	-6.489597415886138	revert	coordinate-contact-gain-decrease	Decrease contactGain by one bounded step.
35	035-f2d21286ef28	72.4049289732107	-0.5410201341668284	revert	coordinate-roll-gain-increase	Increase rollGain by one bounded step.
36	036-a91233b66600	69.873734823218	-3.0722142841595286	revert	coordinate-roll-gain-decrease	Decrease rollGain by one bounded step.
